,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1885,27982,40,0,0,40,0,40
1,1886,19095,0,27,0,27,0,27
2,1887,71732,69,1,13,83,0,83
3,1888,104623,11,108,0,98,21,119
4,1889,4371,0,0,2,2,0,2
5,1890,6316,0,1,12,13,0,13
6,1893,593,0,0,2,2,0,2
7,1894,1459,0,3,0,3,0,3
8,1895,32713,0,15,33,48,0,48
9,1897,1928,3,0,0,3,0,3
10,1899,25279,0,23,0,23,0,23
11,1900,301977,9,503,1,512,1,513
12,1901,42990,1,18,12,30,1,31
13,1906,1373,0,2,0,0,2,2
14,1909,42129,18,0,0,18,0,18
15,1910,11740,0,38,0,34,4,38
16,1911,5326,5,0,0,0,5,5
17,1912,40626,14,60,0,74,0,74
18,1913,1708,0,1,0,1,0,1
19,1915,3130,0,4,0,4,0,4
20,1917,5011,0,11,0,11,0,11
21,1918,8138,0,13,0,13,0,13
22,1919,11743,0,0,7,7,0,7
23,1921,1313,0,4,1,5,0,5
24,1923,145718,0,173,0,173,0,173
25,1924,17914,0,48,0,48,0,48
26,1926,355,0,1,0,1,0,1
27,1929,1415,0,1,0,0,1,1
28,1931,34126,31,7,0,38,0,38
29,1932,53259,0,47,45,92,0,92
30,1933,43426,0,8,39,41,6,47
31,1934,68276,0,23,75,98,0,98
32,1935,589037,0,11,97,108,0,108
33,1936,37156,0,87,0,87,0,87
34,1937,176761,0,85,127,212,0,212
35,1938,132759,0,150,11,161,0,161
36,1939,109270,27,96,18,141,0,141
37,1940,443812,3,439,69,507,4,511
38,1941,642568,1,595,168,763,1,764
39,1942,622907,0,771,70,824,17,841
40,1943,572644,0,501,114,611,4,615
41,1944,621427,8,685,208,899,2,901
42,1945,691312,0,831,122,931,22,953
43,1946,1303604,19,1459,307,1731,54,1785
44,1947,2164115,0,2137,507,2625,19,2644
45,1948,2068417,3,2334,391,2696,32,2728
46,1949,2148444,22,2127,491,2629,11,2640
47,1950,3021056,52,2496,1007,3531,24,3555
48,1951,3889378,28,3908,662,4521,77,4598
49,1952,4295031,1,3816,1047,4781,83,4864
50,1953,6292566,0,6109,1396,7338,167,7505
51,1954,6604126,41,6021,2238,8202,98,8300
52,1955,7051235,1,6668,1623,8137,155,8292
53,1956,11847674,8,8865,2629,11323,179,11502
54,1957,12432474,116,9522,3262,12614,286,12900
55,1958,11329092,28,9817,3373,12945,273,13218
56,1959,15560755,61,12119,3964,15785,359,16144
57,1960,14583865,146,13719,4513,17971,407,18378
58,1961,14759597,42,13512,4192,17186,560,17746
59,1962,19092584,88,14115,5680,19383,500,19883
60,1963,17821304,16,16319,5275,20847,763,21610
61,1964,18239582,1,16597,5288,21151,735,21886
62,1965,22458343,153,16198,6653,22024,980,23004
63,1966,20679179,52,17127,5893,22179,893,23072
64,1967,24424606,140,19444,5875,24579,880,25459
65,1968,21881933,346,18710,6970,24724,1302,26026
66,1969,475736296,200050,20985,6776,49326,178485,227811
67,1970,26498137,77,23332,7123,29243,1289,30532
68,1971,24279912,80,22363,6747,27867,1323,29190
69,1972,23217776,206,21089,6518,26612,1201,27813
70,1973,25259738,41,22012,6639,27234,1458,28692
71,1974,27186653,267,22353,7245,28687,1178,29865
72,1975,27078907,408,24270,7085,30515,1248,31763
73,1976,28084162,306,25181,7779,31906,1360,33266
74,1977,43346786,276,26182,8419,33474,1403,34877
75,1978,32483803,282,26930,8789,34466,1535,36001
76,1979,34553332,271,31639,9207,39166,1951,41117
77,1980,40433892,475,33288,10070,41620,2213,43833
78,1981,40743462,381,36181,11686,46245,2003,48248
79,1982,44773261,403,39797,13864,51663,2401,54064
80,1983,49522510,407,39580,14248,51331,2904,54235
81,1984,52071690,396,45563,14920,57902,2977,60879
82,1985,61474266,236,49094,18506,64607,3229,67836
83,1986,62376470,444,48876,19274,64689,3905,68594
84,1987,65026698,546,49809,22263,68343,4275,72618
85,1988,91982992,548,56074,23324,73185,6761,79946
86,1989,78172748,627,54241,22937,72687,5118,77805
87,1990,72428709,730,53716,24054,73172,5328,78500
88,1991,70163513,194,50204,22174,67575,4997,72572
89,1992,66646064,291,46782,21123,62731,5465,68196
90,1993,55422561,277,43126,18952,56962,5393,62355
91,1994,45588303,275,33060,15147,43061,5421,48482
92,1995,42678540,177,22739,11547,29229,5234,34463
93,1996,22023020,186,12668,6381,14833,4402,19235
94,1997,18187638,58,11403,4726,12431,3756,16187
95,1998,13211901,85,7698,2910,7926,2767,10693
96,1999,9627922,16,6275,2830,7084,2037,9121
97,2000,8686991,120,4736,1417,4443,1830,6273
98,2001,6183752,60,2151,893,2342,762,3104
99,2002,1395522,0,619,224,501,342,843
