,birth year,tripduration_sum,gender_unknown,gender_male,gender_female,subscriber,customer,total_uses
0,1941,2534,0,0,6,6,0,6
1,1949,29689,0,38,0,38,0,38
2,1950,640,0,1,0,1,0,1
3,1951,10092,0,49,0,49,0,49
4,1952,23501,0,42,14,56,0,56
5,1953,34974,0,6,43,49,0,49
6,1954,28188,0,42,29,71,0,71
7,1955,11300,0,21,8,29,0,29
8,1956,58725,0,147,11,158,0,158
9,1957,30240,0,73,14,87,0,87
10,1958,91559,0,224,22,246,0,246
11,1959,95296,0,58,15,72,1,73
12,1960,90808,0,162,4,162,4,166
13,1961,566232,0,60,15,75,0,75
14,1962,142643,2,223,31,256,0,256
15,1963,55076,0,132,16,147,1,148
16,1964,71268,0,141,18,144,15,159
17,1965,73984,0,91,20,109,2,111
18,1966,55541,0,130,7,137,0,137
19,1967,236250,0,152,31,183,0,183
20,1968,81776,0,147,75,222,0,222
21,1969,696120,404,196,38,477,161,638
22,1970,140734,0,267,35,302,0,302
23,1971,160664,0,169,133,302,0,302
24,1972,81307,0,183,37,219,1,220
25,1973,120166,0,258,64,321,1,322
26,1974,113593,0,170,18,188,0,188
27,1975,131051,1,308,41,350,0,350
28,1976,248822,24,289,96,409,0,409
29,1977,200304,0,360,102,459,3,462
30,1978,226255,25,382,20,423,4,427
31,1979,242217,0,335,103,437,1,438
32,1980,362963,20,716,136,869,3,872
33,1981,325060,56,508,146,699,11,710
34,1982,235836,0,389,187,556,20,576
35,1983,419652,0,520,95,614,1,615
36,1984,280042,2,567,150,717,2,719
37,1985,969603,1,626,160,779,8,787
38,1986,346785,0,782,181,947,16,963
39,1987,376302,0,910,194,1092,12,1104
40,1988,540152,6,860,225,1080,11,1091
41,1989,350792,0,652,227,860,19,879
42,1990,315897,50,633,175,835,23,858
43,1991,418757,0,659,166,806,19,825
44,1992,494047,0,423,210,623,10,633
45,1993,282430,3,489,40,517,15,532
46,1994,386582,0,373,144,491,26,517
47,1995,126845,1,221,55,253,24,277
48,1996,108336,0,83,65,143,5,148
49,1997,130030,0,11,1,10,2,12
50,1998,597841,0,49,9,52,6,58
51,1999,3513,0,2,1,0,3,3
52,2000,2997,0,3,0,0,3,3
53,2001,3261,0,1,0,0,1,1
54,2002,8857,0,1,3,0,4,4
