,station_id,station_name,station_latitude,station_longitude,gender_male,gender_female,gender_unknown,subscriber,customer,total_uses,station_type,date
0,72,W 52 St & 11 Ave,40.76727216,-73.99392888,3026,992,584,3788,814,4602,1,05/01/2018
1,79,Franklin St & W Broadway,40.71911552,-74.00666661,1960,689,312,2605,356,2961,1,05/01/2018
2,82,St James Pl & Pearl St,40.71117416,-74.00016545,683,350,65,999,99,1098,1,05/01/2018
3,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,1038,321,174,1298,235,1533,1,05/01/2018
4,119,Park Ave & St Edwards St,40.69608941,-73.97803415,211,92,26,287,42,329,1,05/01/2018
5,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,626,332,73,958,73,1031,1,05/01/2018
6,127,Barrow St & Hudson St,40.73172428,-74.00674436,4531,1531,458,5936,584,6520,1,05/01/2018
7,128,MacDougal St & Prince St,40.72710258,-74.00297088,4294,1879,515,6026,662,6688,1,05/01/2018
8,143,Clinton St & Joralemon St,40.69239502,-73.99337909,1469,683,111,2156,107,2263,1,05/01/2018
9,144,Nassau St & Navy St,40.69839895,-73.98068914,330,219,274,503,320,823,1,05/01/2018
10,146,Hudson St & Reade St,40.71625008,-74.0091059,2099,845,255,2896,303,3199,1,05/01/2018
11,150,E 2 St & Avenue C,40.720873600000004,-73.98085795,1867,843,160,2711,159,2870,1,05/01/2018
12,151,Cleveland Pl & Spring St,40.72210378668603,-73.99724900722505,4812,1891,910,6492,1121,7613,1,05/01/2018
13,157,Henry St & Atlantic Ave,40.69089272,-73.99612349,1094,629,226,1763,186,1949,1,05/01/2018
14,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,3623,1532,534,5009,680,5689,1,05/01/2018
15,164,E 47 St & 2 Ave,40.75323098,-73.97032517,2066,727,189,2744,238,2982,1,05/01/2018
16,167,E 39 St & 3 Ave,40.7489006,-73.97604882,3657,682,364,4205,498,4703,1,05/01/2018
17,168,W 18 St & 6 Ave,40.73971301,-73.99456405,5298,1731,412,6936,505,7441,1,05/01/2018
18,173,Broadway & W 49 St,40.76068327096592,-73.98452728986742,4726,1048,832,5489,1117,6606,1,05/01/2018
19,174,E 25 St & 1 Ave,40.7381765,-73.97738662,2760,1046,141,3825,122,3947,1,05/01/2018
20,195,Liberty St & Broadway,40.70905623,-74.01043382,2871,708,522,3390,711,4101,1,05/01/2018
21,212,W 16 St & The High Line,40.74334935,-74.00681753,3939,1379,799,5059,1058,6117,1,05/01/2018
22,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,510,162,331,618,385,1003,1,05/01/2018
23,217,Old Fulton St,40.70277159,-73.99383605,1573,828,1816,1904,2313,4217,1,05/01/2018
24,223,W 13 St & 7 Ave,40.73781509,-73.99994661,3053,1006,282,4019,322,4341,1,05/01/2018
25,228,E 48 St & 3 Ave,40.7546011026,-73.971878855,2094,386,207,2398,289,2687,1,05/01/2018
26,229,Great Jones St,40.72743423,-73.99379025,5411,1799,429,7144,495,7639,1,05/01/2018
27,232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892,704,284,684,790,882,1672,1,05/01/2018
28,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,3312,1207,396,4447,468,4915,1,05/01/2018
29,237,E 11 St & 2 Ave,40.73047309,-73.98672378,3667,1404,165,4978,258,5236,1,05/01/2018
30,238,Bank St & Washington St,40.7361967,-74.00859207,518,228,105,717,134,851,1,05/01/2018
31,239,Willoughby St & Fleet St,40.69196566,-73.9813018,1812,813,143,2587,181,2768,1,05/01/2018
32,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,808,478,149,1284,151,1435,1,05/01/2018
33,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,779,258,160,977,220,1197,1,05/01/2018
34,243,Fulton St & Rockwell Pl,40.688226,-73.979382,771,277,14,1039,23,1062,1,05/01/2018
