,station_id,station_name,station_latitude,station_longitude,gender_male,gender_female,gender_unknown,subscriber,customer,total_uses,station_type,date
0,3183,Exchange Place,40.7162469,-74.0334588,982,176,118,1153,123,1276,1,04/01/2018
1,3184,Paulus Hook,40.7141454,-74.0335519,463,71,56,519,71,590,1,04/01/2018
2,3185,City Hall,40.717732500000004,-74.04384499999999,426,110,56,543,49,592,1,04/01/2018
3,3186,Grove St PATH,40.71958611647166,-74.0431174635887,2138,594,144,2787,89,2876,1,04/01/2018
4,3187,Warren St,40.721123600000006,-74.03805095,440,118,55,584,29,613,1,04/01/2018
5,3188,NJCU,40.710108700000006,-74.0858489,7,0,0,7,0,7,1,04/01/2018
6,3189,West Side Light Rail,40.714402,-74.0887723,14,3,1,16,2,18,1,04/01/2018
7,3190,Garfield Ave Station,40.7104670233797,-74.07003879547119,35,10,6,35,16,51,1,04/01/2018
8,3191,Union St,40.71821129999999,-74.08363940000001,33,23,2,55,3,58,1,04/01/2018
9,3192,Liberty Light Rail,40.711242299999995,-74.0557013,301,121,131,369,184,553,1,04/01/2018
10,3193,Lincoln Park,40.7246050998869,-74.07840594649316,118,70,24,184,28,212,1,04/01/2018
11,3194,McGinley Square,40.7253399253558,-74.06762212514876,345,65,23,408,25,433,1,04/01/2018
12,3195,Sip Ave,40.730742625306576,-74.06378388404845,951,243,41,1195,40,1235,1,04/01/2018
13,3196,Riverview Park,40.7443187,-74.04399090000001,108,12,11,118,13,131,1,04/01/2018
14,3198,Heights Elevator,40.748715945380226,-74.04044330120088,117,36,6,139,20,159,1,04/01/2018
15,3199,Newport Pkwy,40.728744799999994,-74.03210820000001,427,199,86,570,142,712,1,04/01/2018
16,3200,MLK Light Rail,40.711130499999996,-74.0788855,11,0,0,11,0,11,1,04/01/2018
17,3201,Dey St,40.737711,-74.066921,44,5,14,50,13,63,1,04/01/2018
18,3202,Newport PATH,40.7272235,-74.03375890000001,818,220,78,1033,83,1116,1,04/01/2018
19,3203,Hamilton Park,40.727595965999996,-74.044247311,987,370,67,1384,40,1424,1,04/01/2018
20,3205,JC Medical Center,40.71653978099194,-74.0496379137039,281,67,55,334,69,403,1,04/01/2018
21,3206,Hilltop,40.7311689,-74.0575736,134,73,16,210,13,223,1,04/01/2018
22,3207,Oakland Ave,40.7376037,-74.05247829999999,244,94,8,338,8,346,1,04/01/2018
23,3209,Brunswick St,40.7241765,-74.05065640000001,435,74,13,507,15,522,1,04/01/2018
24,3210,Pershing Field,40.742677141,-74.051788633,221,63,15,285,14,299,1,04/01/2018
25,3211,Newark Ave,40.72152515,-74.046304543,517,149,43,667,42,709,1,04/01/2018
26,3212,Christ Hospital,40.734785818,-74.050443636,159,42,10,202,9,211,1,04/01/2018
27,3213,Van Vorst Park,40.71848892,-74.047726625,501,150,24,651,24,675,1,04/01/2018
